[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory functions.php 第 843 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for '8.0/no DST' instead Log.class.php 第 66 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | SQL:  RunTime:0.002535s SQL = SELECT * FROM `ts_system_data` WHERE ( `list` = 'siteopt' ) ORDER BY id ASC
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [8] Undefined index: length CacheFile.class.php 第 205 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory functions.php 第 843 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for '8.0/no DST' instead Log.class.php 第 66 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | SQL:  RunTime:0.001379s SQL = SELECT * FROM `ts_system_data` WHERE ( `list` = 'audit' ) ORDER BY id ASC
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [8] Undefined index: length CacheFile.class.php 第 205 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory functions.php 第 843 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for '8.0/no DST' instead Log.class.php 第 66 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | SQL:  RunTime:0.003034s SQL = SELECT * FROM `ts_addons` WHERE ( `status` = '1' )
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [8] Undefined index: length CacheFile.class.php 第 205 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory functions.php 第 843 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for '8.0/no DST' instead Log.class.php 第 66 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | SQL:  RunTime:0.004874s SQL = SHOW COLUMNS FROM ts_app
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory functions.php 第 843 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for '8.0/no DST' instead Log.class.php 第 66 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | SQL:  RunTime:0.001709s SQL = SELECT * FROM `ts_app` ORDER BY display_order ASC
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [8] Undefined index: length CacheFile.class.php 第 205 行.
[ 2013-02-27T05:27:31+00:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [8] Undefined index: length CacheFile.class.php 第 205 行.
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | SQL:  RunTime:0.007950s SQL = SHOW COLUMNS FROM ts_model
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | SQL:  RunTime:0.000996s SQL = SELECT * FROM `ts_model`
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] Missing argument 5 for getChildTree(), called in D:\Zend\Apache2\htdocs\trunk\apps\content\Lib\Action\CategoryAction.class.php on line 12 and defined extend.php 第 2484 行.
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | SQL:  RunTime:0.003987s SQL = SHOW COLUMNS FROM ts_category
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | SQL:  RunTime:0.002005s SQL = SELECT * FROM `ts_category` WHERE ( `status` = 1 ) ORDER BY sort
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T13:27:31+08:00 ] /trunk/index.php?app=content&mod=Category&act=add&pid=75 | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
